house1,109,32,-88,9,9,6,1
house2,109,32,-74,9,9,6,2
house3,109,32,-60,9,9,6,3
house10,124,32,-88,9,9,6,10
house11,124,32,-74,9,9,6,11
house12,124,32,-60,9,9,6,12
house19,138,32,-88,9,9,6,19
house20,138,32,-74,9,9,6,20
house21,138,32,-60,9,9,6,21
house4,109,48,-88,9,9,6,4
house5,109,48,-74,9,9,6,5
house6,109,48,-60,9,9,6,6
house13,124,48,-88,9,9,6,13
house14,124,48,-74,9,9,6,14
house15,124,48,-60,9,9,6,15
house22,138,48,-88,9,9,6,22
house23,138,48,-74,9,9,6,23
house24,138,48,-60,9,9,6,24
house7,109,64,-88,9,9,6,7
house8,109,64,-74,9,9,6,8
house9,109,64,-60,9,9,6,9
house16,124,64,-88,9,9,6,16
house17,124,64,-74,9,9,6,17
house18,124,64,-60,9,9,6,18
house25,138,64,-88,9,9,6,25
house26,138,64,-74,9,9,6,26
house27,138,64,-60,9,9,6,27
